id,prescriber_last_name,prescriber_first_name,drug_name,drug_cost
1000000001,Smith,James,AMBIEN,100
1000000002,Garcia,Maria,AMBIEN,200
1000000003,Johnson,James,CHLORPROMAZINE,1000
1000000004,Rodriguez,Maria,CHLORPROMAZINE,2000
1000000005,Smith,David,BENZTROPINE MESYLATE,1500

1033145099,ARNESON,MARK,MEGESTROL ACETATE,300.67
1033145099,ARNESON,MARK,OMEPRAZOLE,747.35
1033145099,ARNESON,MARK,ONDANSETRON HCL,228.7
1033145099,ARNESON,MARK,PREDNISONE,106.45
1033145099,ARNESON,MARK,TAMOXIFEN CITRATE,749.88
1225022031,ARNESON,MARK,ALPHAGAN P,1406.53
1225022031,ARNESON,MARK,LATANOPROST,1564.57
1225022031,ARNESON,MARK,LEVOBUNOLOL HCL,472.38
1962462523,ARNESON,MATTHEW,HYDROCODONE-ACETAMINOPHEN,186.86
1760782098,ARNESON,PEDER,AMOXICILLIN,36.44
1760782098,ARNESON,PEDER,HYDROCODONE-ACETAMINOPHEN,118.18
1710942842,ARNESON,RICHARD,LATANOPROST,245.12
1336339647,ARNESON,SHIRLEY,ADVAIR DISKUS,6951.95
1336339647,ARNESON,SHIRLEY,ALENDRONATE SODIUM,816.26
1336339647,ARNESON,SHIRLEY,ALLOPURINOL,317.85
1336339647,ARNESON,SHIRLEY,ALPRAZOLAM,250.98
1336339647,ARNESON,SHIRLEY,AMITRIPTYLINE HCL,171.59
1336339647,ARNESON,SHIRLEY,AMLODIPINE BESYLATE,377.81
1336339647,ARNESON,SHIRLEY,ATENOLOL,382.24
1336339647,ARNESON,SHIRLEY,ATORVASTATIN CALCIUM,1578.73
1336339647,ARNESON,SHIRLEY,BACLOFEN,387.85
1336339647,ARNESON,SHIRLEY,BD ULTRA-FINE PEN NEEDLE,435.57
1336339647,ARNESON,SHIRLEY,BENAZEPRIL HCL,151.17
1336339647,ARNESON,SHIRLEY,BUPROPION HCL SR,738.35
1336339647,ARNESON,SHIRLEY,BUPROPION XL,563.88
1336339647,ARNESON,SHIRLEY,CALCIPOTRIENE,5092.32
1336339647,ARNESON,SHIRLEY,CARBAMAZEPINE,1062.55
1336339647,ARNESON,SHIRLEY,CARBIDOPA-LEVODOPA,517.24
1336339647,ARNESON,SHIRLEY,CARTIA XT,442.9
1336339647,ARNESON,SHIRLEY,CARVEDILOL,476.79
1336339647,ARNESON,SHIRLEY,CIPROFLOXACIN HCL,54.26
1336339647,ARNESON,SHIRLEY,CITALOPRAM HBR,384.55
1336339647,ARNESON,SHIRLEY,CLONAZEPAM,85.87
1336339647,ARNESON,SHIRLEY,CLONIDINE HCL,276.74
1336339647,ARNESON,SHIRLEY,COMBIVENT RESPIMAT,7368.25
1336339647,ARNESON,SHIRLEY,CRESTOR,15457.05
1336339647,ARNESON,SHIRLEY,CYCLOBENZAPRINE HCL,55.54
1336339647,ARNESON,SHIRLEY,DIAZEPAM,25.08
1336339647,ARNESON,SHIRLEY,DICYCLOMINE HCL,119.17
1336339647,ARNESON,SHIRLEY,DIGOXIN,598.7
1336339647,ARNESON,SHIRLEY,DILANTIN,785.24
1336339647,ARNESON,SHIRLEY,DILTIAZEM 24HR CD,1050.3
1336339647,ARNESON,SHIRLEY,DILTIAZEM ER,1197.69
